date,region,candidate,party,offyear,runoff,voteshare,candidatevotes,totalvotes
12/13/2025,Coalition,labour,united left,FALSE,FALSE,0,,
12/13/2025,Coalition,progressive,united left,FALSE,FALSE,0,,
12/13/2025,Coalition,pwp,united left,FALSE,FALSE,0,,
12/13/2025,Coalition,Forsh,united left,FALSE,FALSE,0,,
12/13/2025,Alvana,Poopman69,alliance,FALSE,FALSE,35.59,133731,360000
12/13/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,37.15,128118,360000
12/13/2025,Alvana,BobLaFollette,pwp,FALSE,FALSE,17.61,63384,360000
12/13/2025,Alvana,Donald Jehovaha Trump,jnp,FALSE,FALSE,9.66,34767,360000
12/13/2025,Alvana,Poopman69,alliance,FALSE,TRUE,47.28,161589,341779
12/13/2025,Alvana,Dannyunown0,labour,FALSE,TRUE,52.72,180190,341779
12/13/2025,Brunix Islands,Geodore Roosevelt,alliance,FALSE,FALSE,53.45,192412,360000
12/13/2025,Brunix Islands,Capy,pwp,FALSE,FALSE,46.55,167588,360000
12/13/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,45.98,165535,360001
12/13/2025,Dalminica,Okazaki Fox,jnp,FALSE,FALSE,28.73,103419,360001
12/13/2025,Dalminica,British Guy,alliance,FALSE,FALSE,25.29,91047,360001
12/13/2025,Dalminica,SunwardH,progressive,FALSE,TRUE,63.32,188561,297803
12/13/2025,Dalminica,Okazaki Fox,jnp,FALSE,TRUE,36.68,109242,297803
12/13/2025,Dentone,How Do I Type,alliance,FALSE,FALSE,100,360000,360000
12/13/2025,Emix,Javer,labour,FALSE,FALSE,100,360000,360000
12/13/2025,Garvor,Nivenoakes,progressive,FALSE,FALSE,22.88,86124,360002
12/13/2025,Garvor,TMK,labour,FALSE,FALSE,33.3,119875,360002
12/13/2025,Garvor,Swamp Ape,alliance,FALSE,FALSE,23.92,82360,360002
12/13/2025,Garvor,Eevee,jnp,FALSE,FALSE,19.89,71593,360002
12/13/2025,Garvor,Sheep,independent,FALSE,FALSE,0.01,50,360002
12/13/2025,Garvor,TMK,labour,FALSE,TRUE,61.56,220112,357531
12/13/2025,Garvor,Swamp Ape,alliance,FALSE,TRUE,38.44,137419,357531
12/13/2025,Kilden,Earthseeker,pwp,FALSE,FALSE,42.5,153009,359999
12/13/2025,Kilden,Lee,renewal,FALSE,FALSE,57.5,206990,359999
12/13/2025,Newmasi,JAMden,progressive,FALSE,FALSE,33.51,120636,360000
12/13/2025,Newmasi,Odin,alliance,FALSE,FALSE,66.49,239364,360000
12/13/2025,Quintin,Sonia Gandhi,labour,FALSE,FALSE,75.99,273551,360000
12/13/2025,Quintin,Seth,progressive,FALSE,FALSE,24.01,86449,360000
12/13/2025,Trunoe,Medikit,pwp,FALSE,FALSE,48.03,172916,360000
12/13/2025,Trunoe,Forsh,independent,FALSE,FALSE,51.97,187084,360000
12/13/2025,National Popular Vote,JNP,jnp,FALSE,FALSE,14.79,,
12/13/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,29.44,,
12/13/2025,National Popular Vote,Renewal,renewal,FALSE,FALSE,1.46,,
12/13/2025,National Popular Vote,Labour,labour,FALSE,FALSE,25.95,,
12/13/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,20.74,,
12/13/2025,National Popular Vote,PWP,pwp,FALSE,FALSE,7.61,,
12/13/2025,List Seat 1,Okazaki Fox,jnp,FALSE,FALSE,100,,
12/13/2025,List Seat 2,Meiscool,jnp,FALSE,FALSE,100,,
12/13/2025,List Seat 3,Cruzer,alliance,FALSE,FALSE,100,,
12/13/2025,List Seat 4,Poopman69,alliance,FALSE,FALSE,100,,
12/13/2025,List Seat 5,Griffith Hyde,alliance,FALSE,FALSE,100,,
12/13/2025,List Seat 6,Uncle Skunk Ape,alliance,FALSE,FALSE,100,,
12/13/2025,List Seat 7,Mokaeo,labour,FALSE,FALSE,100,,
12/13/2025,List Seat 8,IAMVERYSWELL,labour,FALSE,FALSE,100,,
12/13/2025,List Seat 9,Beary,progressive,FALSE,FALSE,100,,
12/13/2025,List Seat 10,JAMden,progressive,FALSE,FALSE,100,,
12/13/2025,List Seat 11,Nivenoakes,progressive,FALSE,FALSE,100,,
12/13/2025,List Seat 12,Medikit,pwp,FALSE,FALSE,100,,
1/25/2026,Coalition,alliance,alliance,FALSE,FALSE,0,,
1/25/2026,Alvana,Poopman69,alliance,FALSE,FALSE,51.94,177640,342000
1/25/2026,Alvana,Dannyunown0,labour,FALSE,FALSE,22.65,77462,342000
1/25/2026,Alvana,BobLaFollette,pwp,FALSE,FALSE,14.62,49990,342000
1/25/2026,Alvana,Donald Jehovaha Trump,coalition,FALSE,FALSE,10.79,36908,342000
1/25/2026,Brunix Islands,Nick12,alliance,FALSE,FALSE,60.3,192412,319108
1/25/2026,Brunix Islands,Jack Ciattarelli,coalition,FALSE,FALSE,18.31,58415,319108
1/25/2026,Brunix Islands,Capybara,pwp,FALSE,FALSE,15,43351,319108
1/25/2026,Brunix Islands,Usgball,independent,FALSE,FALSE,7.81,24930,319108
1/25/2026,Dalminica,Okazaki Fox,coalition,FALSE,FALSE,42.55,148074,348000
1/25/2026,Dalminica,British Guy,alliance,FALSE,FALSE,31.92,111073,348000
1/25/2026,Dalminica,SunwardH,solidarity,FALSE,FALSE,13.45,46809,348000
1/25/2026,Dalminica,Izemoji,labour,FALSE,FALSE,12.08,42044,348000
1/25/2026,Dalminica,Okazaki Fox,coalition,FALSE,TRUE,50.96,167124,327974
1/25/2026,Dalminica,British Guy,alliance,FALSE,TRUE,49.04,160850,327974
1/25/2026,Dentone,How Do I Type,alliance,FALSE,FALSE,68.53,230264,335999
1/25/2026,Dentone,Danylo Isaacson-Lebid',labour,FALSE,FALSE,21.72,72993,335999
1/25/2026,Dentone,Benjamina Netanyahu,coalition,FALSE,FALSE,9.74,32742,335999
1/25/2026,Emix,Javer,labour,FALSE,FALSE,50.57,166867,330000
1/25/2026,Emix,Tal,pwp,FALSE,FALSE,49.43,163133,330000
1/25/2026,Garvor,Alex,alliance,FALSE,FALSE,50.18,171628,342001
1/25/2026,Garvor,Burley,coalition,FALSE,FALSE,19.86,67912,342001
1/25/2026,Garvor,TMK,labour,FALSE,FALSE,18.96,64828,342001
1/25/2026,Garvor,Niven_Oakes,progressive,FALSE,FALSE,11,37633,342001
1/25/2026,Kilden,Sam McMahon,labour,FALSE,FALSE,44.7,152867,342000
1/25/2026,Kilden,Paradise,alliance,FALSE,FALSE,39.84,136264,342000
1/25/2026,Kilden,Earthseeker,independent,FALSE,FALSE,8.28,28306,342000
1/25/2026,Kilden,Lee,solidarity,FALSE,FALSE,7.18,24563,342000
1/25/2026,Kilden,Sam McMahon,labour,FALSE,TRUE,54.54,178616,327488
1/25/2026,Kilden,Paradise,alliance,FALSE,TRUE,45.46,148872,327488
1/25/2026,Newmasi,Caughtquick,alliance,FALSE,FALSE,48.62,169187,348000
1/25/2026,Newmasi,Odin,solidarity,FALSE,FALSE,24.81,86322,348000
1/25/2026,Newmasi,Obi Dervan,coalition,FALSE,FALSE,13.98,48635,348000
1/25/2026,Newmasi,JAMden,progressive,FALSE,FALSE,12.6,43856,348000
1/25/2026,Newmasi,Caughtquick,alliance,FALSE,TRUE,62.07,212452,342268
1/25/2026,Newmasi,Odin,solidarity,FALSE,TRUE,37.93,129816,342268
1/25/2026,Quintin,Sonia Gandhi,labour,FALSE,FALSE,50.59,166935,330000
1/25/2026,Quintin,Beary,progressive,FALSE,FALSE,49.41,163065,330000
1/25/2026,Trunoe,Northpoletyrant,alliance,FALSE,FALSE,53.76,180623,336000
1/25/2026,Trunoe,Forsh,solidarity,FALSE,FALSE,46.24,155377,336000
1/25/2026,National Popular Vote,Coalition,coalition,FALSE,FALSE,21.1,,
1/25/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,53.27,,
1/25/2026,National Popular Vote,Labour,labour,FALSE,FALSE,9.76,,
1/25/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,6.39,,
1/25/2026,National Popular Vote,Progressive,progressive,FALSE,FALSE,6.08,,
1/25/2026,National Popular Vote,PWP,pwp,FALSE,FALSE,3.4,,
1/25/2026,List Seat 1,Athabasca,coalition,FALSE,FALSE,100,,
1/25/2026,List Seat 2,Burley,coalition,FALSE,FALSE,100,,
1/25/2026,List Seat 3,Van der Plan,coalition,FALSE,FALSE,100,,
1/25/2026,List Seat 4,Eevee,coalition,FALSE,FALSE,100,,
1/25/2026,List Seat 5,Jack Ciatarelli,coalition,FALSE,FALSE,100,,
1/25/2026,List Seat 6,Nebular Space,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 7,Usgball,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 8,Geodore Roosevelt,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 9,Cruzer,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 10,Griffith Hyde,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 11,Spakian,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 12,Sean,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 13,British Guy,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 14,Jerry,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 15,Dirty Yield,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 16,Grant,alliance,FALSE,FALSE,100,,
1/25/2026,List Seat 17,Odin,solidarity,FALSE,FALSE,100,,
1/25/2026,List Seat 18,Forsh,solidarity,FALSE,FALSE,100,,
1/25/2026,List Seat 19,Beary,progressive,FALSE,FALSE,100,,
1/25/2026,List Seat 20,JAMden,progressive,FALSE,FALSE,100,,
02/09/2026,Quintin,Rahul Gandhi,proglab,TRUE,FALSE,57.28,182135,318000
02/09/2026,Quintin,Run,alliance,TRUE,FALSE,42.72,135865,318000
2/17/2026,Dalminica,Flor Belgier,proglab,TRUE,FALSE,39.13,129129,330000
2/17/2026,Dalminica,British Guy,alliance,TRUE,FALSE,35.86,118338,330000
2/17/2026,Dalminica,Izemoji,coalition,TRUE,FALSE,25.01,82533,330000
2/17/2026,Dalminica,Flor Belgier,proglab,TRUE,TRUE,52.05,168144,323043
2/17/2026,Dalminica,British Guy,alliance,TRUE,TRUE,47.95,154899,323043
2/28/2026,Coalition,jnp,bob,FALSE,FALSE,0,,
2/28/2026,Coalition,alliance,bob,FALSE,FALSE,0,,
2/28/2026,Coalition,solidarity,bob,FALSE,FALSE,0,,
2/28/2026,Alvana,Poopman69,alliance,FALSE,FALSE,53.4,176220,330000
2/28/2026,Alvana,Dannyunown0,proglab,FALSE,FALSE,23.6,77880,330000
2/28/2026,Alvana,Tommy,pwp,FALSE,FALSE,22.99,75867,330000
2/28/2026,Brunix Islands,Jack Ciattarelli,alliance,FALSE,FALSE,69.66,229878,330000
2/28/2026,Brunix Islands,Capy,proglab,FALSE,FALSE,23.05,76065,330000
2/28/2026,Brunix Islands,Usgball,independent,FALSE,FALSE,7.29,24057,330000
2/28/2026,Dalminica,Flor Belgier,proglab,FALSE,FALSE,46.2,152460,330000
2/28/2026,Dalminica,Copperhead,alliance,FALSE,FALSE,38.66,127578,330000
2/28/2026,Dalminica,British Guy,solidarity,FALSE,FALSE,15.14,49962,330000
2/28/2026,Dalminica,Flor Belgier,proglab,FALSE,TRUE,51.68,170544,330000
2/28/2026,Dalminica,Copperhead,alliance,FALSE,TRUE,48.32,159456,330000
2/28/2026,Dentone,How Do I Type,alliance,FALSE,FALSE,71.35,235455,330000
2/28/2026,Dentone,Benjamina Netanyahu,proglab,FALSE,FALSE,19.97,65901,330000
2/28/2026,Dentone,Joris,independent,FALSE,FALSE,8.68,28644,330000
2/28/2026,Emix,Jerry,alliance,FALSE,FALSE,39.68,130944,330000
2/28/2026,Emix,Javer,proglab,FALSE,FALSE,40.25,132825,330000
2/28/2026,Emix,Newsom,solidarity,FALSE,FALSE,20.07,66231,330000
2/28/2026,Emix,Jerry,alliance,FALSE,TRUE,50.39,166287,330000
2/28/2026,Emix,Javer,proglab,FALSE,TRUE,49.61,163713,330000
2/28/2026,Garvor,Alex,alliance,FALSE,FALSE,49.37,162921,330000
2/28/2026,Garvor,TMK,proglab,FALSE,FALSE,27.11,89463,330000
2/28/2026,Garvor,Felix,jnp,FALSE,FALSE,13.08,43164,330000
2/28/2026,Garvor,Burley,pwp,FALSE,FALSE,10.44,34452,330000
2/28/2026,Garvor,Alex,alliance,FALSE,TRUE,51.39,169587,330000
2/28/2026,Garvor,TMK,proglab,FALSE,TRUE,30.01,99033,330000
2/28/2026,Garvor,Felix,jnp,FALSE,TRUE,18.6,61380,330000
2/28/2026,Kilden,Sam McMahon,proglab,FALSE,FALSE,45.79,151107,330000
2/28/2026,Kilden,Lee,solidarity,FALSE,FALSE,30.82,101706,330000
2/28/2026,Kilden,Cob,pwp,FALSE,FALSE,23.38,77154,330000
2/28/2026,Kilden,Sam McMahon,proglab,FALSE,TRUE,59.14,195162,330000
2/28/2026,Kilden,Lee,solidarity,FALSE,TRUE,40.86,134838,330000
2/28/2026,Newmasi,Craig,alliance,FALSE,FALSE,46.45,153285,330000
2/28/2026,Newmasi,JAMden,proglab,FALSE,FALSE,32.66,107778,330000
2/28/2026,Newmasi,Out of names,solidarity,FALSE,FALSE,16.83,55539,330000
2/28/2026,Newmasi,Jabed,independent,FALSE,FALSE,4.06,13398,330000
2/28/2026,Newmasi,Craig,alliance,FALSE,TRUE,54.22,178926,330000
2/28/2026,Newmasi,JAMden,proglab,FALSE,TRUE,45.78,151074,330000
2/28/2026,Quintin,Rahul Gandhi,proglab,FALSE,FALSE,50.53,166749,330000
2/28/2026,Quintin,Run,alliance,FALSE,FALSE,49.47,163251,330000
2/28/2026,Trunoe,Growmper,solidarity,FALSE,FALSE,50.13,165429,330000
2/28/2026,Trunoe,Dutch van der Linde,proglab,FALSE,FALSE,49.87,164571,330000
2/28/2026,National Popular Vote,Nationals,jnp,FALSE,FALSE,9.11,,
2/28/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,43.55,,
2/28/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,11.25,,
2/28/2026,National Popular Vote,ProgLab,proglab,FALSE,FALSE,27.07,,
2/28/2026,National Popular Vote,UCP,pwp,FALSE,FALSE,9.03,,
2/28/2026,List Seat 1,Felix,jnp,FALSE,FALSE,100,,
2/28/2026,List Seat 2,Obi Dervan,jnp,FALSE,FALSE,100,,
2/28/2026,List Seat 3,Athabasca,jnp,FALSE,FALSE,100,,
2/28/2026,List Seat 4,Run,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 5,CaptainNF,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 6,Eden,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 7,Usgball,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 8,Spakian,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 9,Sean,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 10,Griffith Hyde,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 11,Caughtquick,alliance,FALSE,FALSE,100,,
2/28/2026,List Seat 12,Potato,solidarity,FALSE,FALSE,100,,
2/28/2026,List Seat 13,Mokaeo,solidarity,FALSE,FALSE,100,,
2/28/2026,List Seat 14,Javer,proglab,FALSE,FALSE,100,,
2/28/2026,List Seat 15,JAMden,proglab,FALSE,FALSE,100,,
2/28/2026,List Seat 16,Niven,proglab,FALSE,FALSE,100,,
2/28/2026,List Seat 17,Beary,proglab,FALSE,FALSE,100,,
2/28/2026,List Seat 18,Van der Plan,proglab,FALSE,FALSE,100,,
2/28/2026,List Seat 19,Cob,pwp,FALSE,FALSE,100,,
2/28/2026,List Seat 20,Tommy,pwp,FALSE,FALSE,100,,
3/26/2026,Trunoe,Van der Plan,green,FALSE,FALSE,60.79,196951,324000
3/26/2026,Trunoe,Northpoletyrant,sdp,TRUE,FALSE,24.19,78380,324000
3/26/2026,Trunoe,Medikit,pwp,TRUE,FALSE,14.44,46801,324000
3/26/2026,Trunoe,Heatland,sdp,TRUE,FALSE,0.58,1868,324000
3/26/2026,Trunoe,Van der Plan,green,TRUE,TRUE,66.77,215182,322276
3/26/2026,Trunoe,Northpoletyrant,sdp,TRUE,TRUE,33.23,107094,322276
4/18/2026,Coalition,alliance,sunmoon,FALSE,FALSE,0,,
4/18/2026,Coalition,solidarity,sunmoon,FALSE,FALSE,0,,
4/18/2026,Emix,Jerry,alliance,FALSE,FALSE,33.83,115694,342001
4/18/2026,Emix,Trey,green,FALSE,FALSE,32.17,110009,342001
4/18/2026,Emix,Javer,sdp,FALSE,FALSE,23.61,80761,342001
4/18/2026,Emix,Newsom,solidarity,FALSE,FALSE,10.39,35537,342001
4/18/2026,Emix,Jerry,alliance,FALSE,TRUE,44.29,177963,319440
4/18/2026,Emix,Trey,green,FALSE,TRUE,55.71,141477,319440
4/18/2026,Kilden,Cob,ucp,FALSE,FALSE,62.92,211395,336000
4/18/2026,Kilden,Newsom,solidarity,FALSE,FALSE,37.08,124605,336000
4/18/2026,Brunix Islands,Jack Ciattarelli,alliance,FALSE,FALSE,69.04,236105,342000
4/18/2026,Brunix Islands,JP,ucp,FALSE,FALSE,13.51,46212,342000
4/18/2026,Brunix Islands,Capy,green,FALSE,FALSE,12.91,44142,342000
4/18/2026,Brunix Islands,Usgball,independent,FALSE,FALSE,4.54,15541,342000
4/18/2026,Garvor,Alex,alliance,FALSE,FALSE,31.93,110157,349445
4/18/2026,Garvor,Strxya,green,FALSE,FALSE,23.88,82840,349445
4/18/2026,Garvor,TMK,sdp,FALSE,FALSE,19.51,69050,349445
4/18/2026,Garvor,Athabasca,jnp,FALSE,FALSE,11.47,40616,349445
4/18/2026,Garvor,Viterkol,solidarity,FALSE,FALSE,9.6,33992,349445
4/18/2026,Garvor,StarStar,independent,FALSE,FALSE,1.3,4616,349445
4/18/2026,Garvor,Jkuma,independent,FALSE,FALSE,1.17,4135,349445
4/18/2026,Garvor,Johnny Sins,independent,FALSE,FALSE,1.14,4039,349445
4/18/2026,Garvor,Alex,alliance,FALSE,TRUE,50.24,169639,337667
4/18/2026,Garvor,Strxya,green,FALSE,TRUE,49.76,168028,337667
4/18/2026,Dalminica,Flor Belgier,sdp,FALSE,FALSE,51.9,174391,336000
4/18/2026,Dalminica,Vincent F. Rocher,alliance,FALSE,FALSE,35.4,118950,336000
4/18/2026,Dalminica,Izemoji,green,FALSE,FALSE,12.7,42659,336000
4/18/2026,Newmasi,Griffith Hyde,alliance,FALSE,FALSE,37.11,129133,348001
4/18/2026,Newmasi,JAMden,sdp,FALSE,FALSE,22.52,78368,348001
4/18/2026,Newmasi,Meerkat SJV Habitat,green,FALSE,FALSE,17.5,60916,348001
4/18/2026,Newmasi,Mokaeo,solidarity,FALSE,FALSE,16.59,57741,348001
4/18/2026,Newmasi,Obi Dervan,jnp,FALSE,FALSE,6.28,21843,348001
4/18/2026,Newmasi,Griffith Hyde,alliance,FALSE,TRUE,58.15,200729,345212
4/18/2026,Newmasi,JAMden,sdp,FALSE,TRUE,41.85,144483,345212
4/18/2026,Trunoe,Dutch van der Linde,green,FALSE,FALSE,70.76,233517,330000
4/18/2026,Trunoe,Heatland,sdp,FALSE,FALSE,15.76,51999,330000
4/18/2026,Trunoe,Medikit,ucp,FALSE,FALSE,13.48,44484,330000
4/18/2026,Alvana,Poopman69,alliance,FALSE,FALSE,44.67,155446,348000
4/18/2026,Alvana,Dannyunown0,sdp,FALSE,FALSE,23.9,83161,348000
4/18/2026,Alvana,Tommy,ucp,FALSE,FALSE,17.74,61751,348000
4/18/2026,Alvana,Aki Corentin,green,FALSE,FALSE,13.69,47642,348000
4/18/2026,Alvana,Poopman69,alliance,FALSE,TRUE,55.56,189318,340738
4/18/2026,Alvana,Tommy,ucp,FALSE,TRUE,44.44,151420,340738
4/18/2026,Dentone,How Do I Type,alliance,FALSE,FALSE,68.01,232578,342000
4/18/2026,Dentone,Tw1light,green,FALSE,FALSE,16.58,56709,342000
4/18/2026,Dentone,Danylo Isaacson-Lebid',ucp,FALSE,FALSE,15.41,52713,342000
4/18/2026,Dentone,Halogram,independent,FALSE,FALSE,0.0000001,0,342000
4/18/2026,Quintin,Rahul Gandhi,sdp,FALSE,FALSE,56.94,191324,336000
4/18/2026,Quintin,Run,alliance,FALSE,FALSE,28.73,96532,336000
4/18/2026,Quintin,Beary,green,FALSE,FALSE,14.33,48144,336000
4/18/2026,National Popular Vote,Nationals,jnp,FALSE,FALSE,2.6,,
4/18/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,45.09,,
4/18/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,8.19,,
4/18/2026,National Popular Vote,SDP,sdp,FALSE,FALSE,12.83,,
4/18/2026,National Popular Vote,Greens,green,FALSE,FALSE,18.44,,
4/18/2026,National Popular Vote,UCP,ucp,FALSE,FALSE,12.85,,
4/18/2026,List Seat 1,Sean,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 2,Run,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 3,JKuma12,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 4,Jerry,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 5,Spakian,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 6,Timothy Pickering,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 7,Usgball,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 8,Caughtquick,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 9,Eden,alliance,FALSE,FALSE,100,,
4/18/2026,List Seat 10,Mokaeo,solidarity,FALSE,FALSE,100,,
4/18/2026,List Seat 11,Viterkol,solidarity,FALSE,FALSE,100,,
4/18/2026,List Seat 12,JAMden,sdp,FALSE,FALSE,100,,
4/18/2026,List Seat 13,Dannyunown0,sdp,FALSE,FALSE,100,,
4/18/2026,List Seat 14,Strxya,green,FALSE,FALSE,100,,
4/18/2026,List Seat 15,Beary,green,FALSE,FALSE,100,,
4/18/2026,List Seat 16,Forsh,green,FALSE,FALSE,100,,
4/18/2026,List Seat 17,Gobbi,green,FALSE,FALSE,100,,
4/18/2026,List Seat 18,Tommy,ucp,FALSE,FALSE,100,,
4/18/2026,List Seat 19,Danylo Isaacson-Lebid',ucp,FALSE,FALSE,100,,
4/18/2026,List Seat 20,Robert M. LaFollette Sr.,ucp,FALSE,FALSE,100,,
5/30/2026,Coalition,alliance,sunset,FALSE,FALSE,0,,
5/30/2026,Coalition,fdp,sunset,FALSE,FALSE,0,,
5/30/2026,Coalition,Danylo Isaacson-Lebid',sunset,FALSE,FALSE,0,,
5/30/2026,Coalition,Tommy,sunset,FALSE,FALSE,0,,
5/30/2026,Coalition,Van der Plan,sunset,FALSE,FALSE,0,,
5/30/2026,Coalition,JAMden,sunset,FALSE,FALSE,0,,
5/30/2026,Alvana,Dannyunown0,sdp,FALSE,FALSE,37.03,126653,342001
5/30/2026,Alvana,Poopman69,alliance,FALSE,FALSE,32.14,109930,342001
5/30/2026,Alvana,Tommy,ucp,FALSE,FALSE,20,68408,342001
5/30/2026,Alvana,Donald Jehovaha Trump,fdp,FALSE,FALSE,10.82,37010,342001
5/30/2026,Alvana,Dannyunown0,sdp,FALSE,TRUE,58.24,197306,338806
5/30/2026,Alvana,Poopman69,alliance,FALSE,TRUE,41.76,141500,338806
5/30/2026,Brunix Islands,Usgball,alliance,FALSE,FALSE,59.8,193745,323970
5/30/2026,Brunix Islands,Chilicothe,sdp,FALSE,FALSE,40.2,130225,323970
5/30/2026,Dalminica,Flor Belgier,sdp,FALSE,FALSE,40.91,135017,330000
5/30/2026,Dalminica,Cruzer,fdp,FALSE,FALSE,41.31,136339,330000
5/30/2026,Dalminica,Edward Kegan,green,FALSE,FALSE,17.77,58644,330000
5/30/2026,Dalminica,Flor Belgier,sdp,FALSE,TRUE,53.43,175763,328945
5/30/2026,Dalminica,Cruzer,fdp,FALSE,TRUE,46.57,153182,328945
5/30/2026,Dentone,How Do I Type,alliance,FALSE,FALSE,55.68,187084,329411
5/30/2026,Dentone,Tw1light,green,FALSE,FALSE,31.28,105104,329411
5/30/2026,Dentone,Danylo Isaacson-Lebid',ucp,FALSE,FALSE,11.08,37223,329411
5/30/2026,Dentone,Halogram,independent,FALSE,FALSE,1.96,6589,329411
5/30/2026,Emix,Trey,green,FALSE,FALSE,52.26,175584,336000
5/30/2026,Emix,Newsom,fdp,FALSE,FALSE,25.64,86160,336000
5/30/2026,Emix,Javer,sdp,FALSE,FALSE,22.1,74256,336000
5/30/2026,Garvor,Jkuma,alliance,FALSE,FALSE,32.55,111316,341999
5/30/2026,Garvor,Katherine Monroe,sdp,FALSE,FALSE,27.19,93000,341999
5/30/2026,Garvor,Strxya,green,FALSE,FALSE,20.27,69313,341999
5/30/2026,Garvor,Burley,fdp,FALSE,FALSE,13.24,45272,341999
5/30/2026,Garvor,Athabasca,independent,FALSE,FALSE,6.75,23098,341999
5/30/2026,Garvor,Jkuma,alliance,FALSE,TRUE,49.25,168449,342000
5/30/2026,Garvor,Katherine Monroe,sdp,FALSE,TRUE,50.75,173551,342000
5/30/2026,Kilden,Cob,ucp,FALSE,FALSE,55.01,174942,318000
5/30/2026,Kilden,bfdifann,green,FALSE,FALSE,44.99,143058,318000
5/30/2026,Newmasi,JAMden,green,FALSE,FALSE,38.7,130019,336000
5/30/2026,Newmasi,Caughtquick,alliance,FALSE,FALSE,25.87,86929,336000
5/30/2026,Newmasi,Mokaeo,fdp,FALSE,FALSE,23.45,78778,336000
5/30/2026,Newmasi,Howard Davidson,independent,FALSE,FALSE,11.99,40274,336000
5/30/2026,Newmasi,Caughtquick,alliance,FALSE,TRUE,51.72,169813,328313
5/30/2026,Newmasi,JAMden,green,FALSE,TRUE,48.28,158500,328313
5/30/2026,Quintin,Rahul Gandhi,sdp,FALSE,FALSE,65.7,204997,312000
5/30/2026,Quintin,ItsJustAlfie,green,FALSE,FALSE,34.3,107003,312000
5/30/2026,Trunoe,Van der Plan,green,FALSE,FALSE,73.21,228409,312000
5/30/2026,Trunoe,Heatland,independent,FALSE,FALSE,26.79,83591,312000
5/30/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,36.56,,
5/30/2026,National Popular Vote,FDP,fdp,FALSE,FALSE,11.63,,
5/30/2026,National Popular Vote,SDP,sdp,FALSE,FALSE,19.46,,
5/30/2026,National Popular Vote,Greens,green,FALSE,FALSE,20.08,,
5/30/2026,National Popular Vote,UCP,ucp,FALSE,FALSE,12.27,,
5/30/2026,List Seat 1,Eden,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 2,Jerry,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 3,Sandhillcranes,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 4,Timothy Pickering,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 5,Poopman69,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 6,Dirty Yield,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 7,John Sanchez,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 8,Sean,alliance,FALSE,FALSE,100,,
5/30/2026,List Seat 9,Burley,fdp,FALSE,FALSE,100,,
5/30/2026,List Seat 10,Mokaeo,fdp,FALSE,FALSE,100,,
5/30/2026,List Seat 11,Viterkol,fdp,FALSE,FALSE,100,,
5/30/2026,List Seat 12,TMK,sdp,FALSE,FALSE,100,,
5/30/2026,List Seat 13,Jack Bruhton,sdp,FALSE,FALSE,100,,
5/30/2026,List Seat 14,Strxya,green,FALSE,FALSE,100,,
5/30/2026,List Seat 15,JAMden,green,FALSE,FALSE,100,,
5/30/2026,List Seat 16,Friezzer,green,FALSE,FALSE,100,,
